,Year,Reference,Abstract
0,2016,"Lin, M., & Viswanathan, S. (2016). Home bias in online investments: An empirical study of an online crowdfunding market. Management Science, 62(5), 1393-1414.","An extensive literature in economics and finance has documented home bias, the tendency that transactions are more likely to occur between parties in the same geographical area rather than outside. Using data from a large online crowdfunding marketplace and employing a quasi-experimental design, we find evidence that home bias still exists in this virtual marketplace for financial products. Furthermore, through a series of empirical tests, we show that rationality-based explanations cannot fully explain such behavior and that behavioral reasons at least partially drive this remarkable phenomenon. As crowdfunding becomes an alternative and increasingly appealing channel for financing, a better understanding of home bias in this new context provides important managerial, practical, and policy implications."
1,2016,"Aal, K., Di Pietro, L., Edvardsson, B., Renzi, M. F., & Guglielmetti Mugion, R. (2016). Innovation in service ecosystems. Journal of Service Management, 27(4), 619-651. doi:10.1108/JOSM-02-2015-0044 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=118208315&site=ehost-live","The of this paper is to extend the understanding of innovation in service ecosystems by focussing on the role of values resonance in relation to the integration of brands, service systems and experience rooms. An empirical, explorative case study of an innovative service system is carried out using a narrative approach and presented in the form of a saga. Insights gleaned from the empirical study are used for conceptual developments. Analysis of the empirical case study is presented as four lessons linked to values, brands, service systems and experience rooms. The paper extends a conceptual framework of innovative resource integration in service ecosystems. The paper also contributes four propositions to inform theory: values resonance is a basis for service innovation, the innovative integration of brands based on values resonance can foster innovation, the integration of resources across service system boundaries grounded in values resonance can enable innovation and the integration of experience rooms into a coherent servicescape based on values resonance can support novel forms of resource integration and value co-creation efforts in service ecosystems.  "
2,2017,"Doherty, E., Carcary, M., Conway, G., & Crowley, C. (2017). Customer experience management (CXM) - development of a conceptual model for the digital organization. Proceedings of the European Conference on Innovation & Entrepreneurship, , 103-112. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=126256570&site=ehost-live","In the age of the digital organization, and at a time when customers are connected and empowered like never before, there is growing consensus about the importance of a focus on customer experience (CX) in achieving competitive advantage (Hartlen, 2017, Mc Kinsey Quarterly, 2016, Müller et al, 2016, Banfi et al, 2014). This focus on the customer requires that the organization continuously considers ""What do my customers want?"" (Mc Kinsey Quarterly, 2016). Leveraging digital technologies to address and deliver customer needs can have a positive impact on customer satisfaction ratings whilst at the same time, reducing organizational costs (Banfi et al, 2014). However, to be successful, this transformation means rethinking the entire way that organizations work with their customers (Banfi et al, 2014). Organizations require guidance on where and how to improve the customer experience journey in a digital context. Consequently, this research seeks to outline the key facets of a Customer Experience Management (CX) capability in the form of a conceptual model to guide them through this process. The approach adopted in this research was a multi-phase approach. The first phase is grounded in the relevant literature through undertaking a systematic literature review (SLR) and developing a concept matrix on key customer experience themes and how they have evolved with the emergence of digitization. The second phase is concerned with the development of a conceptual model for managing customer experience in the digital context. This customer experience conceptual model may form a key component of the IT Capability Maturity Framework (IT-CMF™) as a critical capability (CC). This research is of particular importance to organizations and practitioners interested in understanding the value of, and guidelines for, developing a CX capability as part of their digital transformation. It is also relevant to academics who are interested in the area of organizational digital transformation. "
3,2019,"SHIKATA, N., GOTO, S., & GEMBA, K. (2019). Servitisation of the manufacturing industry in japan. Forum Scientiae Oeconomia, 7(3), 19-30. doi:10.23762/FSO_VOL7_NO3_2 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=139206253&site=ehost-live","The recent decline in the profitability of Japanese manufacturers has led to 'service innovation' or servitisation - the development of advanced service businesses utilising information technology. This study analyses 13,322 companies in the Japanese manufacturing industry and finds that servitisation contributes to their profitability. The major difference between servitisation companies and others is that the former sell products to end consumers. We examine two case studies of companies which have built mechanisms to facilitate continuous service provision. "
4,2011,"Patrício, L., Fisk, R. P., Falcão, e. C., & Constantine, L. (2011). Multilevel service design: From customer value constellation to service experience blueprinting. Journal of Service Research, 14(2), 180-200. doi:10.1177/1094670511401901 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=60405623&site=ehost-live","The proliferation of complex service systems raises new challenges for service design and requires new methods. Multilevel Service Design (MSD) is presented as a new interdisciplinary method for designing complex service systems. MSD synthesizes contributions from new service development, interaction design, and the emerging field of service design. MSD enables integrated development of service offerings at three hierarchical levels: (a) Designing the firm’s service concept with the customer value constellation of service offerings for the value constellation experience; (b) Designing the firm’s service system, comprising its architecture and navigation, for the service experience; and (c) Designing each service encounter with the Service Experience Blueprint for the service encounter experience. Applications of the MSD method are described for designing a new retail grocery service and for redesigning a bank service. MSD contributes an interdisciplinary service design method that accommodates the cocreative nature of customer experiences and enables experience integration from the design of the service concept through the design of the service system and service encounter. "
5,2010,"Roels, G., Karmarkar, U. S., & Carr, S. (2010). Contracting for collaborative services. Management Science, 56(5), 849-863. doi:10.1287/mnsc.1100.1146 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=51812700&site=ehost-live","In this paper, we analyze the contracting issues that arise in collaborative services, such as consulting, financial planning, and information technology outsourcing. In particular, we investigate how the choice of contract type--among fixed-fee, time-and-materials, and performance-based contracts--is driven by the service environment characteristics. We find that fixed-fee contracts contingent on performance are preferred when the service output is more sensitive to the vendor's effort, that time-and-materials contracts are optimal when the output is more sensitive to the buyer's effort, and that performance-based contracts dominate when the output is equally sensitive to both the buyer's and the vendor's inputs. We also discuss how the performance of these contracts is affected with output uncertainty, process improvement opportunities, and the involvement of multiple buyers and vendors in the joint-production process. Our model highlights the trade-offs underlying the choice of contracts in a collaborative service environment and identifies service process design changes that improve contract efficiency. "
6,2014,"Chen, Y. J., Shanthikumar, J. G., & Shen, Z. J. M. (2015). Incentive for peer?to?peer knowledge sharing among farmers in developing economies. Production and Operations Management, 24(9), 1430-1440.","This study examines the peer?to?Peer interactions among farmers when both knowledge learning and sharing are available. We construct a stylized model in which heterogeneous farmers are endowed with their initial production capabilities and can post questions in the platform for help. A representative expert regularly monitors the forum and provides answers to the farmers’ questions, but may be non?responsive sometimes due to the limited capacity. A knowledgeable core user (farmer) can choose to be silent or responsive, and is allowed to strategically determine the informativeness of her answers. The farmers face the minimum quantity restriction for attracting the buyers, and must make production before the time of sales. We show that in equilibrium the core user never provides answers that are more informative than the expert's, irrespective of her ex ante knowledge level. Redesigning or restructuring the platform does not help eliminate this inefficient knowledge provision. We also find that hiring more staff to frequently monitor the forum turns out to be detrimental for the peer?to?peer interactions. Moreover, the competition on knowledge sharing between the platform expert and the core user features strategic complementarity sometimes but strategic substitution at other times. Third, charging for the platform usage may discourage uninformative answers, but it could also discourage the core user from sharing knowledge with other farmers."
7,2019,"Ozkul, A. S., Damali, U., Nandialath, A. M., & Stapleton, A. (2019). Customer and employee perceptual congruence in service co-production. Quality Management Journal, 26(1), 2-17. doi:10.1080/10686967.2018.1542286 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=134195149&site=ehost-live","Building on perceptual congruence research, this paper argues that when a customer and a front-line employee have similar perceptions of a co-produced output, employee awareness can support quality improvement efforts in service operations. The authors develop an analytical model describing perceptual congruence in a dyadic customer-employee relationship using a constant elasticity of substitution (CES) function. This model allows the authors to describe a service context with three factors: 1) customer work-allocation level (that is, percent of work expected to be done by the customer); 2) customer-employee interaction level (that is, level of communication needed); and 3) customer-employee interaction type (that is, superiority or inferiority perceived by the customer and the employee in the interaction). The authors also calculate which type of customer-employee perceptual bias alignment is needed to achieve perceptual congruence under these three contextual factors. Their model may guide service managers how to manage perceptual biases — considering their service design characteristics to achieve perceptual congruence. "
8,2016,"Fichter, K., & Clausen, J. (2016). Diffusion dynamics of sustainable innovation-insights on diffusion patterns based on the analysis of 100 sustainable product and service innovations. Journal of Innovation Management, 4(2), 30-67.","There is a growing consensus about the urgent necessity to green the economy and to decouple economic growth from environmental pressure. Against this background, the article explores three questions: (1) What are key factors influencing diffusion dynamics of sustainable product and service innovations? (2) To what extent do diffusion processes of sustainable product and service innovations differ from each other, and can different groups of diffusion processes be identified? (3) Which factors, actors, and institutional settings are characteristic of different groups of diffusion processes?
 While diffusion research on sustainable innovation so far has been limited to case studies with just one or a small number of cases or has been focused on individual sectors, the empirical data presented here cover a large number of cases from a broad variety of product fields. This allows for generalizations as well as relevant insights and conclusions for sustainability, environmental and innovation policies.
 The empirical investigation of 100 sustainable product and service innovations revealed that diffusion processes of sustainable innovations differ substantially: The cluster analysis showed that five groups of sustainable innovations can be differentiated which differ significantly in terms of the factors influencing the diffusion process. The empirical results thus both support the assumption that different types of diffusion paths do in fact exist and also permit characterization of the various types of diffusion paths. The evolutionary concept of diffusion paths develops significant explanatory power on the basis of which faster or slower cases of diffusion and the success or failure of sustainable innovations can be better understood. "
9,2011,"Flodin, M., & Norton, D. (2011). Customer experience blueprint drives B2B. CRM Magazine, 15(11), 38-38. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=67370133&site=ehost-live","The of this paper is to propose a framework for studying the process of technology-based service system innovation from a broad perspective using an approach that elucidates the non-linear facets of this process. The framework draws on Lévy-Strauss's concept of bricolage, which implies that individuals' ""making do with resources at hand,"" as opposed to managerial visions, can trigger innovation. This concept is combined with the notion of technological drift and with a model of emergentism. The paper uses case study data from the Swedish elderly homecare setting. The  illustrate how the emergence of technology-based care services can be triggered by an injection of energy in terms of a new technological resource being made available in an organization, proceeding as a continuous interaction between personnel repurposing and recombining resources at hand, positive and negative feedback dynamics, institutional regulations and culture-related stabilizing mechanisms. New services can arise as a result of a number of efforts and events that, in isolation, might appear insignificant. Taken together, and interacting with enabling and constraining forces that promote the emergence of certain new services and prevent others, such acts and events generate .unpredictable outcomes. The result may be incremental but by no means trivial innovations. The paper suggests an approach to innovation that complements conventional thinking in the new service development literature. The proposed framework can help to explain how and why certain new services emerge and why others do not in unexpected and unpredictable ways.  "
